hs_code,name,category,tariff_rate,vat,parent_directory_code,parent_directory_name,section_code,section_name
0101.21,-- أصيلة للإنسال,-- أصيلة للإنسال,5 %,11 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0101.29,-- غيرها,-- غيرها,5 %,11 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0101.30,- حمير,- حمير,5 %,11 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0101.90,- غيرها,- غيرها,5 %,11 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0102.21,-- أصيلة للإنسال,-- أصيلة للإنسال,0 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0102.29,-- غيرها,-- غيرها,0 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0102.31,-- أصيلة للإنسال,-- أصيلة للإنسال,0 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0102.39,-- غيرها,-- غيرها,0 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0102.90,- غيرها,- غيرها,0 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0103.10,- أصيلة للإنسال,- أصيلة للإنسال,5 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0103.91,-- تزن أقل من 50 كغ,-- تزن أقل من 50 كغ,5 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0103.92,-- تزن 50 كغ أو أكثر,-- تزن 50 كغ أو أكثر,5 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0104.10,- ضأن,- ضأن,0 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0104.20,- ماعز,- ماعز,5 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0105.11,"-- دواجن من انواع ""غالوس دومستيكوس""","-- دواجن من انواع ""غالوس دومستيكوس""",5 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0105.12,-- حبش (ديوك ودجاجات رومية),-- حبش (ديوك ودجاجات رومية),5 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0105.13,-- بط,-- بط,5 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0105.14,-- إوز,-- إوز,5 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0105.15,-- غرغر (دجاج سوداني),-- غرغر (دجاج سوداني),5 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0105.94,"-- دواجن من انواع ""غالوس دومستيكوس""","-- دواجن من انواع ""غالوس دومستيكوس""",70 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0105.99,-- غيرها,-- غيرها,5 %,0 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0106.11,-- رئيسات (هباريات، قرديات، بشريات),-- رئيسات (هباريات، قرديات، بشريات),5 %,11 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
0106.12,-- حيتان ودلافين وخنازير البحر (ثدييات من رتبة الحوتيات)؛ خراف البحر واطم (ثدييات من رتبة الخيلانيات)؛ الفقمة وأسود البحر والفظ (ثدييات من فئة زعنفيات الأقدام),-- حيتان ودلافين وخنازير البحر (ثدييات من رتبة الحوتيات)؛ خراف البحر واطم (ثدييات من رتبة الخيلانيات)؛ الفقمة وأسود البحر والفظ (ثدييات من فئة زعنفيات الأقدام),5 %,11 %,01,حيوانات حية,01,حيوانات ومنتجات حيوانية
